human_gene_id	mouse_gene_id	human_symbol	mouse_symbol	symbol_match
1	117586	A1BG	A1bg	match
9	17960	NAT1	Nat1	match
13	67758	AADAC	Aadac	match
14	227290	AAMP	Aamp	match
15	11298	AANAT	Aanat	match
16	234734	AARS1	Aars1	match
18	268860	ABAT	Abat	match
19	11303	ABCA1	Abca1	match
20	11305	ABCA2	Abca2	match
22	11306	ABCB7	Abcb7	match
23	224742	ABCF1	Abcf1	match
24	11304	ABCA4	Abca4	match
25	11350	ABL1	Abl1	match
27	11352	ABL2	Abl2	match
28	80908	ABO	Abo	match
29	109934	ABR	Abr	match
30	235674	ACAA1	Acaa1b	mouse_extra_suffix
31	107476	ACACA	Acaca	match
32	100705	ACACB	Acacb	match
33	11363	ACADL	Acadl	match
34	11364	ACADM	Acadm	match
35	11409	ACADS	Acads	match
36	66885	ACADSB	Acadsb	match
37	11370	ACADVL	Acadvl	match
38	110446	ACAT1	Acat1	match
40	11418	ASIC2	Asic2	match
41	11419	ASIC1	Asic1	match
43	11423	ACHE	Ache	match
47	104112	ACLY	Acly	match
48	11428	ACO1	Aco1	match
49	11434	ACR	Acr	match
50	11429	ACO2	Aco2	match
51	11430	ACOX1	Acox1	match
52	11431	ACP1	Acp1	match
53	11432	ACP2	Acp2	match
54	11433	ACP5	Acp5	match
55	56318	ACP3	Acp3	match
56	11451	ACRV1	Acrv1	match
58	11459	ACTA1	Acta1	match
59	11475	ACTA2	Acta2	match
60	11461	ACTB	Actb	match
70	11464	ACTC1	Actc1	match
71	11465	ACTG1	Actg1	match
72	11468	ACTG2	Actg2	match
81	60595	ACTN4	Actn4	match
86	56456	ACTL6A	Actl6a	match
87	109711	ACTN1	Actn1	match
88	11472	ACTN2	Actn2	match
89	11474	ACTN3	Actn3	match
90	11477	ACVR1	Acvr1	match
91	11479	ACVR1B	Acvr1b	match
92	11480	ACVR2A	Acvr2a	match
93	11481	ACVR2B	Acvr2b	match
94	11482	ACVRL1	Acvrl1	match
95	109652	ACY1	Acy1	match
97	66204	ACYP1	Acyp1	match
98	75572	ACYP2	Acyp2	match
100	11486	ADA	Ada	match
101	11501	ADAM8	Adam8	match
