human_gene_id	mouse_gene_id	human_symbol	mouse_symbol
1	117586	A1BG	A1bg
29974	69865	A1CF	A1cf
2	232345	A2M	A2m
127550	215493	A3GALT2	A3galt2
53947	239559	A4GALT	A4galt
51146	333424	A4GNT	A4gnt
8086	223921	AAAS	Aaas
65985	78894	AACS	Aacs
13	67758	AADAC	Aadac
344752	639634	AADACL2	Aadacl2
126767	230883	AADACL3	Aadacl3
51166	23923	AADAT	Aadat
79719	66939	AAGAB	Aagab
22848	269774	AAK1	Aak1
28971	66273	AAMDC	Aamdc
14	227290	AAMP	Aamp
15	11298	AANAT	Aanat
25980	68295	AAR2	Aar2
441376	239435	AARD	Aard
16	234734	AARS1	Aars1
57505	224805	AARS2	Aars2
132949	231326	AASDH	Aasdh
60496	67618	AASDHPPT	Aasdhppt
10157	30956	AASS	Aass
26574	56321	AATF	Aatf
9625	11302	AATK	Aatk
18	268860	ABAT	Abat
19	11303	ABCA1	Abca1
20	11305	ABCA2	Abca2
21	27410	ABCA3	Abca3
24	11304	ABCA4	Abca4
23461	217265	ABCA5	Abca5
23460	76184	ABCA6	Abca6
10347	27403	ABCA7	Abca7
10350	217262	ABCA9	Abca9
26154	74591	ABCA12	Abca12
154664	268379	ABCA13	Abca13
5244	18670	ABCB4	Abcb4
340273	77706	ABCB5	Abcb5
10058	74104	ABCB6	Abcb6
22	11306	ABCB7	Abcb7
11194	74610	ABCB8	Abcb8
23457	56325	ABCB9	Abcb9
23456	56199	ABCB10	Abcb10
8647	27413	ABCB11	Abcb11
4363	17250	ABCC1	Abcc1
1244	12780	ABCC2	Abcc2
8714	76408	ABCC3	Abcc3
10257	239273	ABCC4	Abcc4
10057	27416	ABCC5	Abcc5
368	27421	ABCC6	Abcc6
6833	20927	ABCC8	Abcc8
10060	20928	ABCC9	Abcc9
89845	224814	ABCC10	Abcc10
94160	244562	ABCC12	Abcc12
215	11666	ABCD1	Abcd1
225	26874	ABCD2	Abcd2
5825	19299	ABCD3	Abcd3
5826	19300	ABCD4	Abcd4
6059	24015	ABCE1	Abce1
23	224742	ABCF1	Abcf1
55324	27406	ABCF3	Abcf3
9619	11307	ABCG1	Abcg1
9429	26357	ABCG2	Abcg2
64137	192663	ABCG4	Abcg4
64240	27409	ABCG5	Abcg5
64241	67470	ABCG8	Abcg8
11057	54608	ABHD2	Abhd2
171586	106861	ABHD3	Abhd3
63874	105501	ABHD4	Abhd4
51099	67469	ABHD5	Abhd5
57406	66082	ABHD6	Abhd6
79575	64296	ABHD8	Abhd8
55347	213012	ABHD10	Abhd10
83451	68758	ABHD11	Abhd11
26090	76192	ABHD12	Abhd12
145447	100504285	ABHD12B	Abhd12b
84945	68904	ABHD13	Abhd13
25864	68644	ABHD14A	Abhd14a
84836	76491	ABHD14B	Abhd14b
116236	67477	ABHD15	Abhd15
7920	193742	ABHD16A	Abhd16a
140701	241850	ABHD16B	Abhd16b
81926	216169	ABHD17A	Abhd17a
51104	226016	ABHD17B	Abhd17b
58489	70178	ABHD17C	Abhd17c
80167	269423	ABHD18	Abhd18
10006	11308	ABI1	Abi1
10152	329165	ABI2	Abi2
51225	66610	ABI3	Abi3
25890	320712	ABI3BP	Abi3bp
54942	230234	ABITRAM	Abitram
25	11350	ABL1	Abl1
27	11352	ABL2	Abl2
3983	226251	ABLIM1	Ablim1
84448	231148	ABLIM2	Ablim2
22885	319713	ABLIM3	Ablim3
28	80908	ABO	Abo
29	109934	ABR	Abr
137735	223513	ABRA	Abra
58527	73112	ABRACL	Abracl
84142	70681	ABRAXAS1	Abraxas1
23172	109359	ABRAXAS2	Abraxas2
29777	30946	ABT1	Abt1
80325	80283	ABTB1	Abtb1
25841	99382	ABTB2	Abtb2
121551	74007	ABTB3	Abtb3
10449	52538	ACAA2	Acaa2
31	107476	ACACA	Acaca
32	100705	ACACB	Acacb
27034	66948	ACAD8	Acad8
28976	229211	ACAD9	Acad9
80724	71985	ACAD10	Acad10
84129	102632	ACAD11	Acad11
33	11363	ACADL	Acadl
34	11364	ACADM	Acadm
35	11409	ACADS	Acads
36	66885	ACADSB	Acadsb
37	11370	ACADVL	Acadvl
176	11595	ACAN	Acan
9744	216859	ACAP1	Acap1
23527	78618	ACAP2	Acap2
116983	140500	ACAP3	Acap3
38	110446	ACAT1	Acat1
64746	170760	ACBD3	Acbd3
91452	74159	ACBD5	Acbd5
84320	72482	ACBD6	Acbd6
414149	78245	ACBD7	Acbd7
84680	329470	ACCS	Accs
390110	381411	ACCSL	Accsl
65057	497652	ACD	Acd
1636	11421	ACE	Ace
59272	70008	ACE2	Ace2
125981	171168	ACER1	Acer1
340485	230379	ACER2	Acer2
55331	66190	ACER3	Acer3
43	11423	ACHE	Ache
22985	56215	ACIN1	Acin1
2532	13349	ACKR1	Ackr1
1238	59289	ACKR2	Ackr2
57007	12778	ACKR3	Ackr3
51554	252837	ACKR4	Ackr4
11318	11536	ACKR5	Gpr182
47	104112	ACLY	Acly
130013	266645	ACMSD	Acmsd
48	11428	ACO1	Aco1
50	11429	ACO2	Aco2
730249	16365	ACOD1	Acod1
122970	171282	ACOT4	Acot4
641372	217700	ACOT6	Acot6
11332	70025	ACOT7	Acot7
10005	170789	ACOT8	Acot8
26027	329910	ACOT11	Acot11
134526	74156	ACOT12	Acot12
55856	66834	ACOT13	Acot13
51	11430	ACOX1	Acox1
